Merk,Model,Cilinderinhoud (cc),Bouwjaar,Brandstof,Kilometerstand,Vermogen (kW),Vermogen (pk)
Hmundai,Genesis,2100,01/2019,elektrisch,272057,360,483
Jeep,Gladiator,3600,04/2000,lpg,254921,149,200
Ferrari,Roma,1400,08/2019,elektrisch,295240,321,430
Mazda,CX-5,1000,12/2018,lpg,261631,82,110
Volvo,V60,3500,04/2011,diesel,95838,395,530
Jeep,Compass,2500,10/1993,lpg,108317,384,515
Hyundai,Tucson,3300,07/2012,lpg,24101,342,459
Ferrari,F8 Tributo,1800,07/2008,lpg,134713,319,428
Honda,Pilot,1500,10/2007,lpg,290998,97,130
Chevrolet,Equinox,1200,03/1998,benzine,40199,45,60
Ferrari,SF90 Stradale,4800,05/2001,diesel,35619,299,401
Volvo,S90,1800,12/1998,diesel,-1,114,153
Ferrari,488,2200,12/2020,diesel,75388,145,194
Jeep,Compass,2700,09/2009,elektrisch,50005,61,82
Volkswagen,Jetta,2400,06/2022,benzine,15019,297,398
Volkswagen,Tiguan,3300,11/1991,benzine,92179,320,429
BMW,X3,1100,11/2008,diesel,73589,162,217
Ford,Ranger,2200,08/2014,diesel,218433,88,118
Ford,Explorer,2800,01/1950,lpg,297152,363,487
Jeep,Cherokee,3200,03/2012,elektrisch,171178,365,489
Toyota,Prius,3200,08/1956,diesel,77499,83,111
Ferrari,F8 Tributo,1200,11/1993,diesel,151563,48,64
Nissan,Murano,2000,02/1995,elektrisch,78267,59,79
Fiat,Tipo,3200,05/2019,elektrisch,256905,261,350
Jeep,Wrangjey,2600,12/2023,elektrisch,81092,85,114
Lamborghini,Urus,2800,03/2016,benzine,1000010,267,358
Ferrari,LaFerrari,2200,11/2000,lpg,162955,206,276
Ferrari,488,1800,09/2014,benzine,259684,324,434
Toyota,4Runner,1200,03/2019,elektrisch,278817,187,251
Ferrari,488,4800,05/1990,elektrisch,107582,197,264
Volvo,S60,1400,08/1993,elektrisch,263954,387,519
Honda,Odyssey,4800,06/2012,elektrisch,235376,387,519
Porsche,911,1900,11/2010,lpg,566,398,534
Nissan,Murano,2400,01/1995,elektrisch,69406,86,115
Volkswagen,Atlas,1200,03/2004,benzine,4208,279,374
Lamborghini,Aventador,1200,07/2014,lpg,199963,117,157
Mercedes-Benz,Sprinter,1300,05/2018,diesel,151036,88,118
Mazda,CX-30,3200,11/2014,elektrisch,252099,162,217
Ferrari,F8 Tributo,1800,10/1997,elektrisch,62724,231,310
Chevrolet,Impala,2000,06/2005,diesel,145576,275,369
Fiat,124 Spider,1100,08/2007,elektrisch,256783,189,253
Mitsubishi,Pajero,3100,10/2012,lpg,78895,73,98
Alfa Romeo,Giulietta,3400,03/2001,diesel,90522,392,526
Alfa Romeo,Giulia,2500,04/2001,diesel,110234,170,228
Peugeot,3008,1900,09/2012,lpg,167675,151,202
Fiat,Tipo,2800,04/2021,diesel,63891,298,400
Volvo,XC60,1800,05/2009,elektrisch,280852,83,111
Renault,Kadjar,2500,03/2002,elektrisch,126508,101,135
Lamborghini,Murcielago,1600,08/1997,diesel,40014,259,347
Fiat,Tipo,1200,02/2023,elektrisch,208143,163,219
BMW,Z4,1400,03/2015,diesel,2701,76,102
Nissan,Armada,1000,03/1991,elektrisch,71424,101,135
Peugeot,3008,2700,11/2005,benzine,6278,394,528
Ford,Mustang,1900,04/1999,diesel,182761,140,188
Nissan,Altima,3500,08/2000,benzine,1000010,102,137
BMW,X5,1000,01/2011,elektrisch,12742,376,504
Mazda,RX-8,3400,10/1991,diesel,127363,245,329
Kia,Niro,2500,01/2019,elektrisch,261083,85,114
Ford,F-150,3300,09/2022,diesel,124944,160,215
Ferrari,F8 Tributo,3000,12/2009,elektrisch,47459,161,216
Lamborghini,Gallardo,2500,02/2000,elektrisch,173641,316,424
Mercedes-Benz,GLC,2200,09/2008,benzine,126779,279,374
Chevrolet,Equinox,3400,05/2018,elektrisch,133640,181,243
Tesla,Model S,2400,08/2000,lpg,241879,338,453
Renault,Captur,4800,07/1997,diesel,175851,315,422
Mazda,MX-5 Miata,1700,02/2013,benzine,173237,57,76
BMW,X3,1100,03/2006,diesel,174966,117,157
Kia,Sorento,3200,09/2014,benzine,291015,392,526
Honda,Ridgeline,2700,08/2024,diesel,239282,274,367
Nissan,Armada,3000,08/2021,lpg,114898,354,475
Honda,Accord,3300,10/2023,elektrisch,220222,197,264
BMW,X7,2200,11/1945,diesel,63561,74,99
Peugeot,2008,3200,01/2020,biodiesel,183850,59,79
Alfa Romeo,Spider,3300,01/2017,elektrisch,115802,143,192
Nissan,370Z,2300,10/2010,elektrisch,83222,133,178
Volkswagen,Beetle,1700,05/1997,benzine,102907,333,447
Nissan,Rogue,3400,01/2005,diesel,39148,109,146
Jeep,Grand Cherokee,2700,01/1998,lpg,4241,220,295
Toyota,Prius,4800,03/2006,diesel,257298,231,310
Volkswagen,Touareg,1500,01/2024,diesel,269721,358,480
Jeep,Cherokee,1800,01/2010,diesel,143152,136,182
Honda,Accord,1400,01/2008,lpg,113383,343,460
Peugeot,3008,3100,02/2001,benzine,198993,349,468
Porsche,Taycan,2900,04/2019,benzine,115181,180,241
Kia,Optima,2200,08/2010,elektrisch,65285,340,456
Nissan,Versa,3500,05/2010,lpg,56108,120,161
Mercedes-Benz,GLE,2300,01/2007,elektrisch,109929,218,292
Jeep,Cherokee,2600,07/2016,lpg,125651,223,299
Ferrari,488,3200,03/2012,diesel,23830,57,76
Fiat,Doblo,3600,03/1990,elektrisch,206153,300,402
Hyundai,Sonata,1300,05/1996,diesel,287142,254,341
Lamborghini,Veneno,1300,03/1991,elektrisch,203495,249,334
Kia,Optima,2900,09/2006,diesel,188252,164,220
Tesla,Cybertruck,2500,05/2018,elektrisch,293286,305,409
Ford,Fusion,1300,12/1994,elektrisch,-1,273,366
Alfa Romeo,Spider,1900,09/2015,benzine,129174,373,500
Ferrari,488,1200,06/2002,lpg,863,297,398
Ford,Fusion,3600,09/2022,diesel,260049,101,135
Fiat,Fiorino,2800,06/1991,lpg,-1,109,146
Honda,CR-V,2400,05/1969,elektrisch,101536,358,480
Kia,Optima,3500,08/1997,lpg,284154,118,158
Ferrari,F8 Tributo,1200,01/1991,lpg,131114,211,283
Volkswagen,Beetle,2100,07/1998,elektrisch,116845,378,507
Jeep,Compass,1300,09/1991,benzine,144132,175,235
Subaru,Impreza,2800,08/2018,lpg,30922,144,193
Audi,Rumplumplum,3400,06/2020,diesel,162211,181,243
Hyundai,Santa Fe,2600,03/2000,elektrisch,210530,315,422
Mitsubishi,Lancer,1700,11/2010,elektrisch,95931,298,400
Mercedes-Benz,GLA,2100,04/2006,lpg,287224,158,212
Subaru,Forester,1400,10/2007,diesel,42479,345,463
Peugeot,3008,1800,10/2018,lpg,222432,238,319
Subaru,Impreza,1200,03/1996,lpg,132664,118,158
Volkswagen,Jetta,2100,05/1991,elektrisch,1591,190,255
Toyota,Prius,1600,07/1995,diesel,45049,384,515
Mazda,Mazda3,2100,07/2004,lpg,219388,302,405
Peugeot,2008,1700,09/2006,lpg,102825,177,237
Volkswagen,Touareg,3400,01/2010,lpg,50728,100,134
Mazda,CX-3,1400,01/1994,benzine,149549,85,114
Subaru,Legacy,1200,10/2004,elektrisch,134554,304,408
Alfa Romeo,Stelvio,1800,07/1993,benzine,205870,104,139
Ford,Fusion,2700,03/2014,lpg,71703,307,412
Peugeot,Rifter,1300,12/1992,diesel,223123,287,385
Porsche,Panamera,4800,08/2012,elektrisch,248237,277,371
BMW,Z4,2400,04/1999,lpg,275048,294,394
Kia,Niro,2200,03/1990,elektrisch,290186,164,220
Lamborghini,Aventador,2100,10/2008,benzine,163178,185,248
eiao,Fiorino,2800,01/2015,diesel,201292,323,433
Tesla,Model Y,1700,12/1997,diesel,45405,285,382
Mitsubishi,Mirage,2500,04/2010,elektrisch,78269,276,370
Ferrari,LaFerrari,3100,05/1990,diesel,1000010,175,235
Mazda,RX-8,3300,10/1992,elektrisch,21467,74,99
Chevrolet,Impala,3600,06/2009,benzine,294521,57,76
Mazda,CX-5,1500,03/2020,benzine,67416,206,276
Lamborghini,Murcielago,2900,08/2017,elektrisch,17747,347,465
Volkswagen,Beetle,3300,11/2003,elektrisch,171611,302,405
Alfa Romeo,Giulia,1100,02/1997,elektrisch,279930,205,275
Toyota,4Runner,1700,10/1965,benzine,163900,391,524
Volkswagen,Tiguan,2200,10/2004,diesel,163740,372,499
Ferrari,F8 Tributo,1300,09/2008,diesel,226274,304,408
Mitsubishi,Eclipse Cross,2800,10/1999,diesel,195984,356,477
Tesla,Cybertruck,2700,02/2008,benzine,23489,163,219
Mitsubishi,ASX,2200,09/2009,benzine,132648,341,457
Porsche,Cayenne,1000,08/2014,diesel,87073,244,327
Subaru,Outback,1900,06/2008,elektrisch,139876,251,337
Subaru,BRZ,4800,11/2008,benzine,242928,307,412
Mazda,Rumplumplum,2200,12/2024,diesel,133729,90,121
Fiat,500,1800,07/2015,elektrisch,289289,173,232
Mercedes-Benz,AMG GT,2600,11/2020,benzine,79891,385,516
Hyundai,Accent,2300,08/1993,benzine,221771,268,359
Mercedes-Benz,GLC,2300,02/1992,diesel,222460,299,401
Mazda,CX-30,1600,11/2014,elektrisch,95156,168,225
Honda,CR-V,3500,08/2002,benzine,258501,261,350
Honda,CR-V,3200,02/2017,diesel,158477,122,164
Mercedes-Benz,GLE,2700,12/1990,lpg,9696,371,498
Chevrolet,Trailblazer,2400,07/1998,elektrisch,94857,326,437
denbult,Koleos,2800,04/2015,diesel,120358,249,334
Nissan,Murano,1300,02/1991,lpg,72883,317,425
BMW,3 Series,1100,10/2017,elektrisch,119583,336,451
Mazda,Mazda6,2800,06/2005,benzine,126763,251,337
Ford,F-150,2100,06/2016,diesel,181844,374,502
Ferrari,F8 Tributo,3000,07/1990,elektrisch,290776,201,270
Ferrari,LaFerrari,2700,10/2021,benzine,299090,336,451
Jeep,Wrangler,2700,10/2013,diesel,105931,108,145
Volkswagen,Tiguan,2900,08/1993,elektrisch,118480,245,329
BMW,X1,2900,09/2012,lpg,81382,163,219
Porsche,718 Cayman,2200,08/1992,lpg,273506,225,302
Mazda,CX-3,4800,05/1990,elektrisch,59225,192,257
Alfa Romeo,4C,2500,06/1991,elektrisch,144454,258,346
Toyota,Highlander,2300,10/2003,benzine,124058,337,452
BMW,X5,2200,08/1998,elektrisch,68938,241,323
Volkswagen,Tiguan,1300,05/2013,diesel,58415,250,335
Mercedes-Benz,Sprinter,1800,06/1998,elektrisch,199216,202,271
Alfa Romeo,Stelvio,1400,04/2022,benzine,187987,132,177
Kia,Sportage,4800,06/2008,elektrisch,37906,201,270
Kia,Niro,1500,11/2020,elektrisch,256455,68,91
Kia,Stinger,3400,05/2000,elektrisch,175311,212,284
Fiat,Punto,1300,08/2000,elektrisch,226107,157,211
Hyundai,Veloster,2200,04/2008,lpg,240803,62,83
Chevrolet,Malibu,3400,07/1992,benzine,202380,391,524
Volvo,S60,1400,02/2008,benzine,245849,92,123
Tesla,Model 3,1800,06/2017,benzine,23853,159,213
Nissan,Pathfinder,1800,11/1999,lpg,158895,205,275
Honda,Insight,3300,05/2019,diesel,81525,282,378
Ford,Edge,1700,02/2000,benzine,109273,131,176
Nissan,370Z,1500,10/2014,lpg,295997,98,131
Kia,Stinger,2500,05/2004,benzine,161322,192,257
Nissan,Armada,1800,05/2020,diesel,35944,273,366
Nissan,Sentra,1600,09/1998,benzine,244040,372,499
Mazda,CX-9,1000,06/2000,lpg,178433,109,146
Nissan,Pathfinder,2900,09/2017,benzine,139003,141,189
Volvo,V60,1900,10/2013,lpg,160184,215,288
Ford,Expedition,1800,11/2006,diesel,272362,49,66
Peugeot,2008,1700,05/2024,diesel,274938,96,129
Audi,Q8,2900,04/2017,diesel,115880,83,111
Jeep,Gladiator,1600,11/1992,lpg,45304,163,219
Toyota,Camry,3600,04/1998,elektrisch,214711,290,389
Nissan,Altima,2000,11/2019,benzine,234097,262,351
Fiat,Fiohino,3300,09/1992,benzine,126126,80,107
Audi,Q7,1900,12/2007,diesel,134461,261,350
Honda,Pilot,4800,09/2013,elektrisch,85531,241,323
Lamborghini,Gallardo,2900,03/2022,lpg,171160,281,377
Volkswagen,Beetle,2700,06/1996,elektrisch,194361,215,288
Renault,Twingo,2700,12/1992,diesel,258883,105,141
Porsche,911,2300,04/2021,lpg,169564,282,378
Audi,A4,2500,05/1993,elektrisch,92285,337,452
Jeep,Cherokee,3000,01/2004,lpg,26352,265,355
Mercedes-Benz,GLE,1800,01/2016,lpg,62623,84,113
Mitsubishi,ASX,1500,09/2017,diesel,1000010,253,339
Alfa Romeo,Giulietta,4800,08/2003,lpg,182325,198,266
Mitsubishi,Pajero,1200,04/2017,elektrisch,46234,256,343
Mitsubishi,Pajero,3500,01/1995,elektrisch,69121,224,300
Volvo,XC60,3500,05/1990,benzine,277812,332,445
Lamborghini,Gallardo,3000,05/2007,benzine,221967,281,377
Mtzda,Mazda3,1700,12/2001,benzine,19506,313,420
Audi,Q8,2700,01/1977,elektrisch,179158,88,118
Heldb,Ridgeline,1400,12/1999,lpg,27324,133,178
Volkswagen,Beetle,1600,05/2003,elektrisch,126835,337,452
Mazda,Mazda6,2500,04/1996,elektrisch,176188,187,251
Kia,Sorento,1200,02/2007,lpg,86956,298,400
Kia,Sorento,1300,11/2012,elektrisch,59199,180,241
Tesla,Roadster,1700,05/2003,diesel,221746,67,90
Kia,Spingcr,1700,11/2017,diesel,281617,154,207
Chevrolet,Camaro,2900,06/2003,diesel,28186,389,522
Fiat,Fiorino,2400,10/2010,elektrisch,31678,47,63
Volvo,XC60,1600,07/2008,elektrisch,169498,141,189
Porsche,Cayenne,1900,02/2009,benzine,93672,171,229
Chevrolet,Malibu,2000,12/1996,diesel,163153,51,68
Kia,Sportage,3300,01/2009,elektrisch,190780,260,349
Alfa Romeo,Giulia,1800,04/1994,lpg,1000010,202,271
Fiat,124 Spider,1000,06/2006,lpg,138650,192,257
Renault,Megane,1900,05/2016,diesel,6219,117,157
Chevrolet,Colorado,1200,08/2000,lpg,67574,266,357
Chevrolet,Colorado,1900,05/2003,elektrisch,275511,191,256
Ferrari,F8 Tributo,2400,12/2015,benzine,284995,86,115
Ferrari,812 Superfast,2300,12/1993,elektrisch,227786,271,363
Audi,Q3,1200,12/2019,benzine,22785,392,526
Mazda,Mazda3,1700,04/2004,lpg,1000010,83,111
Chevrolet,Silverado,1600,05/2022,lpg,164052,206,276
Alfa Romeo,Giulietta,1200,02/1998,benzine,60979,216,290
Subaru,Forester,1600,09/1994,benzine,247530,263,353
BMW,X5,3100,11/2002,biodiesel,13675,391,524
Fiat,Fiorino,1300,11/1995,diesel,196728,371,498
Porsche,Panamera,1900,11/2013,lpg,106953,290,389
Subaru,WRX,2500,11/2012,diesel,112526,323,433
Honda,HR-V,3500,04/2003,lpg,253182,89,119
Hyundai,Palisade,3500,08/1992,elektrisch,8066,143,192
Subaru,Forester,3000,10/2019,elektrisch,109929,122,164
Peugeot,2008,3500,06/1993,elektrisch,53585,364,488
Tesla,Model Y,2600,12/1990,elektrisch,286059,323,433
Mercedes-Benz,GLE,4800,04/2012,elektrisch,81597,239,320
Volvo,S90,2400,04/2013,benzine,19689,185,248
Jeep,Grand Cherokee,3000,03/1995,lpg,96801,263,353
Tesla,Model 3,2500,09/2002,benzine,108229,277,371
Mazda,CX-30,3300,04/2002,benzine,178639,190,255
Volvo,V60,2600,01/2008,benzine,221861,316,424
Peugeot,208,2200,12/2023,benzine,238977,321,430
Nissan,Rogue,3400,02/1999,lpg,252597,81,109
Hyundai,Kona,3600,11/2003,lpg,183784,101,135
Lamborghini,Veneno,3300,09/2000,lpg,18345,352,472
Mercedes-Benz,A-Class,1700,10/2002,elektrisch,142506,279,374
Volkswagen,Jetta,1500,02/1993,lpg,71382,293,393
Ford,Mustang,1100,05/2000,elektrisch,102882,294,394
Alfa Romeo,Spider,1900,11/1966,elektrisch,17475,95,127
Tesla,Model Y,3600,02/1997,elektrisch,48083,114,153
Kia,Optimj,3300,09/1999,elektrisch,154917,212,284
Ferrari,Portofino,2000,12/1990,elektrisch,297251,249,334
Mercedes-Benz,A-Class,2600,11/2007,benzine,167237,264,354
Ford,Maverick,3500,08/2018,elektrisch,63002,311,417
Honda,Accord,1600,03/2021,lpg,144134,41,55
Volkswagen,Atlas,1300,02/2006,lpg,121905,288,386
Mercedes-Benz,AMG GT,2000,07/2008,elektrisch,181761,120,161
Porsche,718 Boxster,3200,11/1995,diesel,162453,397,532
BMW,3 Series,2900,08/2011,diesel,1883,326,437
Lamborghini,Urhs,3600,10/1994,lpg,3273,83,111
Peugeot,508,1600,01/2014,benzine,212919,103,138
Volkswagen,Touareg,1400,02/2019,lpg,69322,112,150
Hyundai,Santa Fe,2000,03/2022,elektrisch,295135,269,361
Porsche,Macan,1400,03/2005,lpg,195836,180,241
Subaru,Impreza,1900,03/2018,benzine,91744,137,184
Honda,Ridgeline,1400,10/1996,elektrisch,-1,93,125
Alfa Romeo,Stelvio,2200,08/2015,diesel,32747,156,209
Hyundai,Sonata,1600,05/2009,benzine,50160,80,107
Volkswagen,Atlas,2400,12/1991,diesel,216595,63,84
Ferrari,812 Superfast,3500,08/2012,elektrisch,215446,296,397
Jeep,Gladiator,2000,02/2008,elektrisch,54929,90,121
Peugeot,308,1600,07/2001,lpg,65506,150,201
Chevrolet,Colorado,4800,04/2009,lpg,203832,271,363
Ferrari,Portofino,2300,01/2000,benzine,14255,251,337
Kia,Sorento,1900,12/1995,elektrisch,53874,119,160
Porsche,718 Cayman,3500,10/2021,elektrisch,152375,47,63
Mercedes-Benz,AMG GT,3100,02/1993,diesel,188718,203,272
Toyota,Highlander,1600,05/2010,elektrisch,254376,102,137
Tesla,Model 3,2400,04/1994,lpg,252522,48,64
Lamborghini,Aventador,2200,10/1991,lpg,-1,130,174
Mitsubishi,Outlander,3600,08/1991,diesel,299122,272,365
Volvo,S60,1800,09/2002,lpg,201383,196,263
Fiat,Panda,3200,04/1994,lpg,62423,343,460
Ferrari,LaFerrari,2600,11/1995,lpg,290449,218,292
Porsche,718 Cayman,2800,01/2021,diesel,229504,159,213
Fiat,Panda,3500,09/2008,benzine,43811,305,409
Jeep,Renegade,1700,01/2008,diesel,30788,123,165
Ferrari,Roma,1500,03/1995,benzine,15397,148,198
Volvo,V90,1800,05/2007,elektrisch,245844,353,473
Fiat,500,1000,01/2022,elektrisch,261620,360,483
Hyundai,Tucson,1200,09/2009,lpg,25902,355,476
Fiat,Panda,2500,04/2004,diesel,127757,117,157
Toyota,Prius,3300,06/2008,benzine,259803,160,215
Mitsubishi,Pajero,1800,05/1999,lpg,287493,180,241
Hyundai,Genesis,2100,10/1995,lpg,20679,70,94
Fiat,124 Spider,2700,09/2006,diesel,289202,394,528
Peugeot,Rumplumplum,1600,05/2023,lpg,110649,334,448
Subaru,BRZ,3500,09/1995,benzine,167577,180,241
Porsche,718 Cayman,1400,12/1990,benzine,171678,59,79
Lamborghini,Urus,2900,04/2007,diesel,5285,223,299
Volvo,XC40,1400,09/2004,benzine,193591,285,382
Renault,Twingo,1300,12/2006,diesel,175032,154,207
Peugeot,308,2100,10/2015,elektrisch,1000010,263,353
Renault,Captur,1600,06/2022,lpg,143050,207,278
Volvo,XC90,2600,05/1982,lpg,256339,147,197
Kia,Carnival,3400,05/2009,benzine,248669,85,114
Porsche,Cayenne,3000,05/2022,lpg,1000010,215,288
Mercedes-Benz,GLC,1900,06/2019,elektrisch,278630,99,133
Fiat,124 Spider,2400,10/2010,elektrisch,54497,294,394
Jeep,Wrangler,3200,08/2004,elektrisch,21188,103,138
Ferrari,SF90 Stradale,1900,04/2011,diesel,63970,183,245
Lamborghini,Aventador,2400,11/2004,elektrisch,44713,123,165
BMW,3 Series,1300,03/2020,elektrisch,118241,105,141
Nissan,Armada,2100,09/2006,lpg,149647,138,185
Mercedes-Benz,C-Class,2500,07/1991,diesel,196885,201,270
Mazda,CX-30,2600,02/2007,lpg,61770,51,68
Ferrabi,Roma,1200,07/2005,elektrisch,109794,74,99
Peugeot,2008,2400,08/2006,benzine,152947,150,201
Porsche,Taycan,1600,03/1991,diesel,143096,73,98
Chevrolet,Trailblazer,2600,07/2016,lpg,-1,336,451
Porsche,Macan,3500,10/2013,diesel,98784,301,404
Renault,Captur,1500,09/2011,diesel,109773,337,452
Tesla,Model S,1800,01/2019,diesel,826,168,225
Honda,Civic,3400,10/1995,diesel,96292,93,125
Subaru,Legacy,1100,07/1996,diesel,22100,375,503
Ford,Expedition,1700,12/2022,diesel,277781,81,109
Peugeot,3008,1800,05/2002,lpg,228305,308,413
Alfa Romeo,Giulietta,2400,04/1999,elektrisch,158458,114,153
Kia,Sportage,1500,12/1999,lpg,233009,352,472
Subaru,Crosstrek,1300,08/2017,lpg,262481,372,499
Kia,Optima,1100,10/2014,diesel,35375,280,375
Chevrolet,Impala,2800,09/1996,lpg,120421,103,138
Peugeot,2008,2700,03/2014,diesel,290236,141,189
Hyundai,Ioniq,2100,01/2020,benzine,31991,272,365
Fiat,124 Spider,2200,08/2011,diesel,216987,221,296
Porsche,718 Cayman,2500,11/2015,benzine,109533,109,146
Porsche,911,1300,05/1992,benzine,141858,390,523
Audi,Q5,1200,04/2017,elektrisch,72345,191,256
Peugeot,2m8,3200,06/1996,benzine,215967,179,240
Volkswagen,Atlas,3500,09/2023,elektrisch,39943,361,484
Volkswagen,Beetle,3300,12/2000,lpg,100918,285,382
Fiat,124 Spider,3400,06/2006,diesel,28223,275,369
Chevrolet,Camaro,2200,01/2011,elektrisch,248378,257,345
Alfa Romeo,Giulietta,1800,02/2016,elektrisch,1000010,119,160
Hyundai,Tucson,1500,02/2024,lpg,267041,291,390
Honda,Civic,1800,08/2024,benzine,212781,117,157
Toyota,Yaris,4800,06/1993,benzine,17350,361,484
BMW,7 Series,2700,01/2012,benzine,291731,252,338
Honda,Pilot,2100,06/2013,lpg,164009,252,338
BMW,5 Series,1600,11/1995,lpg,256062,94,126
Audi,Q5,2900,03/1992,benzine,253945,243,326
Volvo,XC40,2000,04/1990,lpg,291791,384,515
Renault,Koleos,2400,08/2021,benzine,240797,378,507
Renault,Captur,3500,11/1998,benzine,246051,225,302
Honda,Fit,2100,07/2016,diesel,6684,151,202
Chevrolet,Trailblazer,4800,05/2003,lpg,72684,192,257
Nissan,Murano,1700,04/2020,lpg,74779,158,212
Volvo,V60,3500,01/1997,biodiesel,106671,212,284
Tesla,Model S,1100,03/2011,benzine,22927,61,82
Subaru,BRZ,1200,05/2003,lpg,51535,274,367
Mazda,Mazda3,2200,04/1991,benzine,13711,173,232
Nissan,Versa,2100,12/2022,lpg,17917,379,508
Renault,Zoe,3000,09/2020,lpg,49355,348,467
Mazda,CX-9,1200,04/1991,elektrisch,40999,166,223
Mercedes-Benz,AMG GT,3200,05/2024,benzine,177931,111,149
Lamborghini,Veneno,1800,07/2021,diesel,-1,326,437
Alfa Romeo,Stelvio,3300,04/2024,benzine,161447,105,141
Alfa Romeo,Giulietta,1700,10/1994,diesel,11865,140,188
Mercedes-Benz,GLE,2800,01/1995,elektrisch,260094,126,169
Kia,Telluride,1700,06/2000,elektrisch,29531,94,126
Subaru,BRZ,1300,06/1995,benzine,198751,395,530
Nissan,Murano,1200,09/2024,lpg,257110,342,459
Honda,Insight,2400,12/2012,diesel,129233,253,339
Alfa Romeo,Stelvio,1600,05/2007,benzine,37606,107,143
Volvo,XC60,1600,05/2007,elektrisch,194149,212,284
Ferrari,488,1200,04/2006,lpg,75557,96,129
Renault,Kadjar,3200,03/2013,diesel,72620,241,323
Fiat,Tipo,3100,06/2001,benzine,222338,72,97
Mitsubishi,Eclipse Cross,2000,01/2007,lpg,105276,327,439
Honda,Insight,1900,09/1997,benzine,80479,283,380
Mitsubishi,Triton,1700,11/1998,benzine,181840,254,341
Mitsubishi,Pajero,1900,07/2007,diesel,289914,342,459
Alfa Romeo,Giulia,2000,08/1995,benzine,726,138,185
BMW,X5,1900,08/2018,lpg,42603,184,247
Chevrolet,Malibu,2000,11/2016,elektrisch,150025,200,268
Ford,Ranger,1800,12/2021,lpg,21436,181,243
Audi,A3,1000,09/2020,elektrisch,94194,268,359
BMW,3 Series,1100,10/1946,diesel,223424,49,66
Mazda,Mazda3,2700,06/2015,elektrisch,265091,170,228
Audi,A3,2200,08/2004,lpg,2512,175,235
Ford,Expedition,3000,08/2016,lpg,189954,194,260
Peugeot,Rumplumplum,1400,08/2015,lpg,87034,243,326
Mazda,MX-5 Miata,3300,11/2017,elektrisch,60534,252,338
Nissan,Rogue,2400,09/2000,lpg,200444,206,276
Volkswagen,Beetle,3300,07/1999,benzine,1000010,226,303
Volkswagen,Golf,3300,01/1994,benzine,43012,378,507
Ferrari,Rumplumplum,2500,04/2019,benzine,97953,213,286
Kia,Carnival,2700,06/1992,elektrisch,131240,180,241
Fiat,Tipi,3000,02/2003,diesel,269097,274,367
Peugeot,5008,3300,05/2007,elektrisch,44954,167,224
Renault,Koleos,1200,08/2009,elektrisch,177152,45,60
Porsche,Mavan,1900,03/1991,diesel,247769,296,397
Mitsubishi,Lancer,2000,03/2021,diesel,36964,50,67
Chevrolet,Colorado,1100,10/2023,diesel,262433,344,461
Fnrd,F-150,2700,07/2020,diesel,215653,164,220
Porsche,Cayenne,2400,02/2010,lpg,289528,330,443
Toyota,Land Cruiser,3100,11/2005,lpg,139127,237,318
Lamborghini,Huracan,1200,02/2001,elektrisch,250878,224,300
Honda,Accord,2100,08/2006,elektrisch,77725,360,483
BMW,7 Series,1600,03/2012,elektrisch,157518,346,464
Honda,pnsight,3300,01/1993,lpg,286743,397,532
Mazda,Mazda6,3200,09/1992,elektrisch,197727,202,271
Audi,A8,1500,01/2014,elektrisch,112634,106,142
Hyundai,Elantra,2700,03/2020,benzine,45972,63,84
Jeep,Patriot,2600,10/1997,elektrisch,11731,72,97
Kia,Seltos,3000,12/2009,benzine,49337,105,141
BMW,5 Series,3400,10/1994,benzine,92637,378,507
Porsche,911,3500,01/2023,elektrisch,64632,365,489
Nissan,Armada,2800,09/1998,diesel,30604,137,184
Honda,Insight,2100,01/1993,diesel,60535,73,98
Kia,Niro,1000,08/2010,lpg,112996,196,263
Kia,Niro,3400,04/2004,diesel,173429,125,168
Volvo,V60,2000,02/2016,diesel,96784,185,248
Mazda,CX-9,1800,07/2012,diesel,175546,132,177
Porsche,Macan,2900,04/1993,diesel,245953,93,125
Nissan,Murano,1800,04/1998,elektrisch,129360,136,182
Nissan,370Z,2400,11/2023,benzine,126954,394,528
Kia,Telluride,1800,09/2021,diesel,98420,111,149
Chevrolet,Corvette,3300,02/2013,benzine,219916,230,308
Nilsan,Altima,2600,06/2004,elektrisch,161403,311,417
Mazda,Mazda3,1600,10/1993,benzine,1000010,249,334
Porsche,718 Boxster,3200,07/2002,diesel,163391,48,64
Renault,Koleos,1000,03/2003,lpg,172188,382,512
Renault,Kadjar,2900,10/1999,benzine,134249,286,384
Ford,Fusion,1700,12/2012,benzine,42673,312,418
Ferrari,Portofino,1300,05/2012,lpg,43359,162,217
Lamborghini,Urus,3500,08/2019,lpg,263767,262,351
Mercedes-Benz,S-Class,2200,04/2015,biodiesel,115675,399,535
Hyundai,Santa Fe,3400,09/2020,benzine,132316,112,150
BMW,5 Series,1400,06/1991,lpg,30064,337,452
Lamborghini,Urus,1800,04/1992,diesel,213596,291,390
Mazda,CX-9,1300,02/2022,diesel,284893,130,174
Alfa Romeo,Stelvio,1400,08/2012,lpg,200818,324,434
Ford,Explorer,3000,12/2023,benzine,155489,360,483
Ford,Ranger,1200,09/2020,biodiesel,185109,241,323
Volvo,V60,1700,01/2000,elektrisch,295615,78,105
Fiat,124 Spider,4800,04/2017,benzine,50255,397,532
Renault,Twingo,2900,11/1995,diesel,282407,43,58
